Loc,date_dec,meansst
Tinder,1990.6657534246576,11.4549997439608
Maria ,1990.6657534246576,11.8803330677872
Bichen,1990.6657534246576,12.9079997114837
BassSt,1990.6657534246576,12.2666663924853
Port P,1990.6657534246576,12.7813330476483
Jervis,1990.6657534246576,16.8763329561179
Jurien,1990.6657534246576,18.9296662435556
Port D,1990.7479452054795,11.8419352191831
Ninepi,1990.7479452054795,12.170967469893201
Tinder,1990.7479452054795,12.1841932760491
Maria ,1990.7479452054795,12.6906448776323
Bichen,1990.7479452054795,13.2606448648918
BassSt,1990.7479452054795,13.1399997062981
Port P,1990.7479452054795,13.7567738860605
Jervis,1990.7479452054795,16.9045157511869
Jurien,1990.7479452054795,19.263225375885
Port D,1990.8328767123287,13.1386663729946
Ninepi,1990.8328767123287,13.464333032382
Tinder,1990.8328767123287,13.6473330282917
Maria ,1990.8328767123287,14.1843330162888
Bichen,1990.8328767123287,14.7473330037047
BassSt,1990.8328767123287,14.8226663353542
Port P,1990.8328767123287,15.6656663165117
Jervis,1990.8328767123287,18.4963329199081
Jurien,1990.8328767123287,20.1133328837653
Port D,1990.9150684931508,13.911935172915
Ninepi,1990.9150684931508,14.1070964588754
Tinder,1990.9150684931508,14.3787093560301
Maria ,1990.9150684931508,15.5732254583629
Bichen,1990.9150684931508,15.7329028741487
BassSt,1990.9150684931508,15.9541931917831
Port P,1990.9150684931508,16.8535480103906
Jervis,1990.9150684931508,21.1525801723643
Jurien,1990.9150684931508,21.2561285571466
Port D,1991,15.0303222446913
Ninepi,1991,15.368064172626
Tinder,1991,15.6145157800206
Maria ,1991,16.5483867268889
Bichen,1991,16.8948383320483
BassSt,1991,17.0658060701624
Port P,1991,18.5880641006534
Jervis,1991,22.4977414326202
Jurien,1991,21.4429027465202
Port D,1991.0849315068492,14.7517853845576
Ninepi,1991.0849315068492,15.2371425165662
Tinder,1991.0849315068492,15.4792853682967
Maria ,1991.0849315068492,16.3467853489066
Bichen,1991.0849315068492,17.0182139053276
BassSt,1991.0849315068492,17.5892853211345
Port P,1991.0849315068492,19.024642431909
Jervis,1991.0849315068492,23.5796423300968
Jurien,1991.0849315068492,21.0624995292164
Port D,1991.1616438356164,14.6312899955458
Ninepi,1991.1616438356164,15.1625803062512
Tinder,1991.1616438356164,15.4309673970265
Maria ,1991.1616438356164,16.8667738165466
Bichen,1991.1616438356164,18.531612489012
BassSt,1991.1616438356164,17.7854834734312
Port P,1991.1616438356164,18.4535479746278
Jervis,1991.1616438356164,21.7332253206762
Jurien,1991.1616438356164,21.675160805845
