,species,Location,MaxLength,Temp_midp,b1_p025,b1_p10,b1_p50,b1_p90,b1_p975
109,Olisthops cyanomelas,Jurien Bay,55,18.0405,-0.001834758,0.000971815,0.005595293,0.009891429,0.012027762
110,Olisthops cyanomelas,Maria Island,55,18.0405,-0.003939417,-0.002158796,0.001640588,0.005107383,0.007243638
111,Olisthops cyanomelas,Port Phillip Bay,55,18.0405,-0.016808954,-0.014450161,-0.009759274,-0.005312883,-0.002587931
112,Ophthalmolepis lineolatus,Bass Strait,41,18.566,-0.022814836,-0.016552003,-0.005671553,0.00448721,0.009925945
113,Ophthalmolepis lineolatus,Jervis Bay,41,18.566,-0.009160765,-0.005059889,0.002750376,0.010864828,0.01454628
114,Ophthalmolepis lineolatus,Jurien Bay,41,18.566,-0.025410989,-0.02127765,-0.011749522,-0.002034644,0.002475922
115,Parma mccullochi,Jurien Bay,30,19.8955,-0.004628995,0.000113615,0.006450367,0.0126061,0.016058029
116,Parma microlepis,Bass Strait,20,18.38,-0.000137308,0.001993959,0.006327764,0.010833259,0.013235791
117,Parma microlepis,Jervis Bay,20,18.38,-0.00605487,-0.003544438,0.000606042,0.004422889,0.006554574
118,Parma occidentalis,Jurien Bay,30,20.947625,-0.012316523,-0.00737398,0.000312735,0.008254144,0.012236961
119,Parma unifasciata,Jervis Bay,20,20.7575,-0.010795606,-0.006488091,-0.000330878,0.006515478,0.011602657
120,Parma victoriae,Port Phillip Bay,25,17.1795,-0.018701645,-0.01581605,-0.01133683,-0.00666088,-0.003813576
121,Parupeneus spilurus,Jervis Bay,47,20.774,0.000262696,0.005379732,0.014717555,0.02340722,0.027245692
122,Parupeneus spilurus,Jurien Bay,47,20.774,-0.011702256,-0.00623548,0.00510087,0.017748661,0.023338229
123,Pempheris affinis,Jervis Bay,17,20.744,-0.018007908,-0.014016756,-0.006083225,0.00280731,0.007557962
124,Pempheris compressa,Jervis Bay,20,19.707,-0.003233473,0.001743132,0.010406654,0.019638981,0.023952335
125,Pempheris klunzingeri,Jurien Bay,21,19.052,-0.016386871,-0.007250584,0.008537631,0.02395737,0.032674407
126,Pempheris multiradiata,Bass Strait,28,17.4335,-0.014623092,-0.006547112,0.008959011,0.025014646,0.033154667
127,Pempheris multiradiata,Bicheno,28,17.4335,-0.016373122,-0.005644802,0.010436792,0.028819686,0.039213834
128,Pempheris multiradiata,Jervis Bay,28,17.4335,0.009651961,0.016687759,0.031413265,0.046517233,0.054361166
129,Pempheris multiradiata,Maria Island,28,17.4335,-0.01951481,-0.013492123,-0.002764651,0.007297601,0.013434861
130,Pempheris multiradiata,Ninepin,28,17.4335,-0.02118011,-0.012322743,0.00733372,0.027392284,0.036799835
131,Pempheris multiradiata,Port Davey,28,17.4335,-0.020752255,-0.0105177,0.012586805,0.041879659,0.055452508
132,Pempheris multiradiata,Port Phillip Bay,28,17.4335,0.009337784,0.022695497,0.046974443,0.070400679,0.086647175
